 Script Name, Automation Percentage,Automation Percentage New
 MERCURY_DEALER_MASTER_RECORD_TYPE_LOAD,98,98
 MERCURY_DEALER_MASTER_USER_LOAD,99,99
 MERCURY_DEALER_SECURITY_RESPONSE_AUDIT_LOAD,100,100
 MERCURY_DEALER_TRANSACTIONS_LOAD2,97,97
 MERCURY_DISCONNECTSANALYSISSUMMARY_LOAD,100,100
 MERCURY_DOCOMO_MONTHLY_SUBSCRIPTION_LOAD,98,98
 MERCURY_ECPC_SUBSCRIBER_EXT_DELTA_LOAD,100,100
 MERCURY_EMPLOYEES_HISTORY_LOAD,98,98
 MERCURY_EMPLOYEES_POS_LOAD,97,97
 MERCURY_EMPLOYEE_PHONE_AUDIT_LOAD,100,100
 MERCURY_EMPLOYEE_PROFILE_LOAD,98,98
 MERCURY_ESN_FIRST_ACTIVATION_LOAD,98,98
 MERCURY_ESTIMATED_NEXT_MRC_LOAD,97,97
 MERCURY_ETL_SUBSCRIBER_DIM_STAGE_LOAD,99,99
 MERCURY_ETL_SUBSCRIBER_DIM_STAGE_LOAD_05152021,99,99
 MERCURY_ETL_SUBSCRIBER_SNAPSHOT_LOAD,99,99
 MERCURY_FEATURE_LOAD,97,97
 MERCURY_FLASHRECONSUMMARY_LOAD,100,100
 MERCURY_FLASHSUMMARY_LOAD,100,100
 MERCURY_FLASH_CHURN_DETAIL_LOAD,100,100
 MERCURY_FLASH_CHURN_DETAIL_LOAD_02252021,100,100
 MERCURY_FLASH_INTRACOMP_ADJSTMT_LOAD,98,98
 MERCURY_FLASH_QGP_DATA_PLAN,100,100
 MERCURY_FREE_SOC_PROMO_LOAD,98,98
 MERCURY_GENERIC_CODES_LOAD,100,100
 MERCURY_GETAVAILABLERUNPACKAGEJOB,100,100
 MERCURY_GETAVAILABLERUNPACKAGEJOBID,100,100
 MERCURY_GET_INS_EXTRACT,100,100
 MERCURY_GET_INS_EXTRACT_02252021,100,100
 MERCURY_GET_LOOKOUT_EXTRACT,100,100
 MERCURY_GET_LOOKOUT_EXTRACT_02252021,100,100
 MERCURY_GET_MGB_EXTRACT,100,100
 MERCURY_GET_QA_BAN_BC_EXTRACT,100,100
